"Quarter","Consumption","Income","Production","Savings","Unemployment"
1970 Q1,0.61856639950868,1.04480133201204,-2.45248552664101,5.29901407084905,0.9
1970 Q2,0.451984018900831,1.22564719214324,-0.551459473735916,7.78989382434156,0.5
1970 Q3,0.872871780499196,1.58515383548377,-0.358651752096151,7.40398406599123,0.5
1970 Q4,-0.271847932667235,-0.239544865217312,-2.1856908722286,1.16989824153153,0.699999999999999
1971 Q1,1.90134495901262,1.97592494928607,1.90976436380033,3.53566692847158,-0.0999999999999996
1971 Q2,0.914877346261811,1.44590852820023,0.901569521995516,5.87476357161911,-0.0999999999999996
1971 Q3,0.794109641460139,0.521149112624286,0.308030708051898,-0.406235341311412,0.0999999999999996
1971 Q4,1.64563316403594,1.15917609356764,2.29136213847649,-1.48625890240961,0
1972 Q1,1.31118969443822,0.456856713988252,4.15429495426349,-4.29197219582482,-0.2
1972 Q2,1.88577787726736,1.03338930705625,1.88867271243276,-4.69219636239764,-0.0999999999999996
1972 Q3,1.52933361233263,1.92629489965412,1.26541144602705,5.92345399030272,-0.2
1972 Q4,2.31955754164872,3.9299492216804,3.43958747236814,16.0735141233835,-0.3
1973 Q1,1.80928216710505,0.755642727536987,2.79414525256678,-4.7589831878609,-0.3
1973 Q2,-0.045090606803555,0.840392330315787,0.832174484046799,8.61510110344472,0
1973 Q3,0.351353184614389,0.451026593205484,0.858624491011017,2.948063512284,-0.100000000000001
1973 Q4,-0.298693386992888,1.0881607837069,1.48200794850193,10.8349639381363,0.100000000000001
1974 Q1,-0.898698755571026,-1.67419119543553,-0.886096555040128,-2.36251082294414,0.199999999999999
1974 Q2,0.359406447822685,-0.934440313508489,0.0589479096969825,-6.30185444442137,0.300000000000001
1974 Q3,0.428641009152031,0.0903255992856344,-0.394930181170361,0.446635084716185,0.5
1974 Q4,-1.47250252953999,-0.133675449406923,-4.05070222572235,10.9899284325119,1.3
1975 Q1,0.835247382438986,-0.150541833971651,-6.83603944736526,-5.17708380733763,1.4
1975 Q2,1.63148743226458,4.52186882941881,-1.35939960000515,23.7392806826919,0.200000000000001
1975 Q3,1.41124034597127,-1.46434233307158,2.42591788161284,-17.0840984963527,-0.4
1975 Q4,1.06959157500057,0.778693589128565,2.15784549248266,0.793714669421064,-0.200000000000001
1976 Q1,1.97965949703818,1.20032333099438,3.02870765476104,-2.41948815173467,-0.6
1976 Q2,0.915845346951549,0.566352704774609,1.26991499688258,-0.972669631507994,0
1976 Q3,1.04735216218526,0.777195745939174,1.32796179902863,0.39393609356031,0
1976 Q4,1.28914015706254,0.632455419529343,1.78768418737025,-2.85425049322177,0.2
1977 Q1,1.17179885241647,0.22447610755929,2.05356943814774,-6.27348157770173,-0.399999999999999
1977 Q2,0.540781432771098,0.935510358547376,3.05148479248727,5.83952626950204,-0.2
1977 Q3,0.941115611062138,1.38001871698936,1.07381264868942,6.46611196866989,-0.4
1977 Q4,1.49234513660694,1.89342074483907,0.646985568778113,6.45794272667759,-0.399999999999999
1978 Q1,0.560223073168764,0.781020569783841,-0.27877986119158,3.72010551740551,-0.100000000000001
1978 Q2,2.11532921622499,1.05286214923339,3.94543200172146,-5.7734517990597,-0.399999999999999
1978 Q3,0.419026538486733,0.774758053596258,0.868081408868937,5.14766964971889,0.0999999999999996
1978 Q4,0.803702792791938,0.655688309311486,1.77400932754894,1.12113850388891,0
1979 Q1,0.516596976265582,1.20275038370341,0.422538620882573,8.86389489435215,-0.2
1979 Q2,-0.0649575531150859,-0.908215553969782,-0.215841409426076,-5.20764403498521,-0.0999999999999996
1979 Q3,0.968392616478297,0.453218003471889,-0.280405783179027,-1.66989158854562,0.2
